class,mean_intensity_mean,mean_intensity_std,active_fraction_mean,active_fraction_std,class_name
0,83.02998044217688,28.913012743368608,0.5941241496598639,0.07580712442590927,T-shirt/top
1,56.84085522959183,14.52371759108272,0.34867687074829934,0.06926041421011814,Trouser
2,96.058762542517,32.65080769383242,0.64871875,0.0706085239572375,Pullover
3,66.01890858843538,21.396708513786386,0.4279081632653061,0.09326490154715379,Dress
4,98.25800552721088,26.42905321599874,0.6017310799319727,0.0749980303995423,Coat
5,34.86754655612245,15.836439794399553,0.32114136904761903,0.10443853756383145,Sandal
6,84.60511989795918,33.08444168024688,0.6291232993197279,0.07894579072902899,Shirt
7,42.76207227891156,12.837450092099692,0.33792750850340136,0.054049252344923464,Sneaker
8,90.15715284863944,28.769504176757565,0.5856147959183673,0.11394898939853905,Bag
9,76.80511840986395,18.302482462549545,0.48451998299319726,0.07546966802557169,Ankle boot
